H2O,flux,Tem,V,cd,H2,CO,Q
0.2,350,1073,1.34,7142.3,0.06543099999999999,0.14807,-0.16022999999999998
0.5,460,1023,1.38,7546.8,0.12377,0.053454999999999996,0.88761
0.05,500,1023,1.1,1067.7,0.0015346,0.019939,-0.20478
0.8,550,1073,1.37,23214.0,0.4841,0.083392,2.2559
0.7,500,1023,1.35,8704.4,0.16064,0.03119,1.0539
0.5,400,1123,1.23,9381.9,0.16629000000000002,0.08523700000000001,-0.074806
0.8,450,1073,1.44,24774.0,0.77627,0.18399000000000001,2.9732
0.4,500,1023,1.44,9921.9,0.12921,0.088345,1.2983
0.5,480,1023,1.36,6432.3,0.1011,0.041514999999999996,0.71128
0.2,450,1073,0.98,855.57,0.0069405000000000005,0.012135,-0.19261
0.7,450,1123,1.2,10425.0,0.20352,0.048622000000000005,-0.11119000000000001
0.5,500,1073,1.01,1390.9,0.020252000000000003,0.0077443,-0.17167000000000002
0.3,500,1123,1.32,11583.0,0.11177999999999999,0.13432,-0.07295700000000001
0.5,490,1023,1.23,2629.0,0.04015,0.014674000000000001,0.10354000000000001
0.9,450,1123,1.3,22390.0,0.7122,0.067773,0.6231399999999999
0.75,500,1023,1.29,5873.8,0.10966,0.015496000000000001,0.55729
0.4,500,1023,1.14,1330.7,0.017428,0.009444899999999999,-0.044098000000000005
0.3,450,1073,1.12,2252.3,0.026010000000000002,0.024506,-0.23074
0.5,450,1023,1.57,23623.0,0.41441000000000006,0.32283,4.5172
0.3,450,1073,1.09,1878.5,0.021766,0.020287,-0.22626999999999997
0.6,350,1073,1.37,15272.0,0.37437,0.16552,1.2259
0.1,450,1073,0.92,513.03,0.0019073,0.0095316,-0.15852
0.7,350,1073,1.44,20622.0,0.66564,0.26456999999999997,2.5099
0.1,450,1023,1.02,607.24,0.0021335,0.011424,-0.13593
0.4,450,1023,1.58,21902.0,0.30471,0.33188,3.6282
0.5,400,1073,1.19,4241.3,0.07616,0.033063,-0.09036699999999999
0.3,500,1123,1.07,3013.4,0.031177,0.029577,-0.42233999999999994
0.5,400,1073,1.02,1498.3,0.026757,0.010954,-0.18686
0.7,400,1123,1.05,4251.0,0.088791,0.020022,-0.43883999999999995
0.5,420,1023,1.04,796.61,0.013956999999999999,0.0051273,-0.067884
0.1,500,1023,1.46,8364.3,0.026073000000000002,0.14966,0.36787
0.2,450,1073,1.43,11722.0,0.083494,0.19682,0.31326
0.4,450,1073,1.07,1816.6,0.025736000000000002,0.014962999999999999,-0.19315
0.2,500,1023,1.19,1704.3,0.0119,0.02251,-0.12047000000000001
0.5,400,1093,1.41,18982.0,0.35028000000000004,0.24149,1.7761
0.25,500,1023,1.55,16387.0,0.13341,0.24323000000000003,2.0208
0.5,400,1123,1.21,8380.1,0.14818,0.07406599999999999,-0.16752999999999998
0.8,350,1073,1.03,2295.2,0.058945000000000004,0.007703,-0.22448
0.9,450,1123,1.12,7935.3,0.17697000000000002,0.012245,-0.42918999999999996
0.3,400,1023,0.92,265.84,0.0034354,0.0032354999999999997,-0.052828
0.9,550,1073,1.31,18221.0,0.39261999999999997,0.02694,1.2844
0.8,500,1123,1.26,17271.0,0.35538000000000003,0.057749,0.41712
0.1,400,1123,1.21,5285.5,0.020099000000000002,0.11307,-0.88435
0.5,490,1023,1.52,20579.0,0.32695,0.20770999999999998,3.4771
0.4,500,1023,1.22,2190.2,0.02868,0.015844999999999998,0.037016
0.6,450,1073,0.99,1391.1,0.024340999999999998,0.0067726,-0.17882
0.55,500,1023,1.46,15503.0,0.2568,0.11154000000000001,2.4173
0.25,500,1023,1.24,2292.0,0.020224000000000002,0.026268,-0.040542
0.7,450,1073,1.38,20062.0,0.44925,0.13244,1.989
0.5,500,1043,1.4,11363.0,0.17168,0.08097,1.3131
0.5,400,1093,1.23,6823.3,0.12197999999999999,0.057509000000000005,-0.03329
0.05,500,1023,1.23,2258.4,0.0032073,0.042375,-0.24118
0.6,400,1023,1.32,5899.9,0.122,0.035861000000000004,0.5384899999999999
0.2,500,1123,1.27,7931.3,0.052972000000000005,0.10987999999999999,-0.61617
0.2,400,1123,1.23,6359.5,0.051774,0.11068,-0.66352
0.3,350,1073,0.98,903.8,0.013169,0.012726000000000001,-0.17292000000000002
0.1,450,1123,1.38,11306.0,0.036864999999999995,0.22432,-0.74952
0.6,500,1123,1.06,4088.1,0.06386499999999999,0.019348,-0.39216
0.5,400,1063,1.32,8466.2,0.15457,0.07474,0.4768
0.5,450,1023,1.59,24397.0,0.43175,0.35126999999999997,5.1505
0.2,400,1123,1.37,12132.0,0.092212,0.23171,-0.39488
0.4,400,1123,1.01,2307.4,0.035564,0.022511,-0.34717
0.15,500,1023,1.18,1632.8,0.0082022,0.024722,-0.16305
0.8,500,1023,1.49,26231.0,0.75963,0.17524,4.1929
0.3,450,1073,1.3,6393.6,0.071501,0.076173,0.011051
0.35,500,1023,0.99,469.84,0.0056033,0.0038405,-0.064805
0.1,450,1023,1.44,7423.1,0.02547,0.14725,0.24186
0.5,400,1053,1.09,1765.0,0.031865,0.012731999999999999,-0.12911
0.5,500,1123,1.43,26135.0,0.39371,0.2951,4.4569
0.7,400,1123,1.37,23303.0,0.63197,0.23889000000000002,2.2863
0.2,500,1123,1.22,6213.5,0.042386,0.084062,-0.6526
0.25,500,1023,1.26,2587.6,0.022811,0.029786,-0.01396
0.5,500,1053,1.51,23645.0,0.3645,0.25246,3.7518
0.55,500,1023,1.32,5180.1,0.082379,0.026369999999999998,0.50541
0.1,400,1023,1.57,14908.0,0.055064999999999996,0.3685,1.1523
0.4,400,1123,1.04,2787.4,0.042892,0.027436000000000002,-0.37458
0.5,500,1113,1.21,7620.7,0.10987000000000001,0.049471,-0.1015
0.2,450,1123,1.36,11863.0,0.082437,0.19634000000000001,-0.40721999999999997
0.5,450,1023,1.04,790.14,0.012995,0.004673600000000001,-0.06529700000000001
0.7,500,1123,1.27,16134.0,0.29691,0.075864,0.55208
0.9,500,1023,0.96,727.89,0.014038,0.000609,-0.069268
0.4,400,1023,1.31,4020.7,0.064367,0.039982,0.24548000000000003
0.9,550,1073,1.36,25380.0,0.6663399999999999,0.05881,2.0507
0.8,500,1123,1.3,21821.0,0.48268,0.086672,0.95424
0.1,550,1073,1.0,1008.4,0.0031341,0.015271999999999999,-0.26650999999999997
0.5,480,1023,1.0,595.67,0.009228100000000001,0.003247,-0.062449
0.5,500,1073,1.31,8847.6,0.13061,0.058662,0.49113999999999997
0.8,400,1123,1.16,9051.4,0.21385,0.03266,-0.33238
0.8,400,1023,1.1,1740.3,0.040097,0.0041395,-0.038883999999999995
0.9,550,1073,1.08,3501.5,0.061889,0.0033701,-0.16280999999999998
0.7,500,1123,1.19,9893.2,0.17287,0.039471,-0.13448
0.8,450,1123,1.38,25426.0,0.76447,0.17893,2.0492
0.45,500,1023,1.29,3628.5,0.051273,0.023521,0.24773
0.5,400,1113,1.34,15776.0,0.28547,0.17561,0.8906299999999999
0.5,440,1023,1.47,15185.0,0.26432,0.1495,2.231
0.9,550,1073,1.06,3079.5,0.05421599999999999,0.0029502,-0.18087999999999999
0.4,500,1023,1.19,1816.8,0.023791999999999997,0.013031000000000001,-0.0031288
0.5,460,1023,1.16,1703.0,0.027505,0.010015000000000001,-0.010887
0.7,450,1023,1.46,21455.0,0.5132899999999999,0.16103,3.2475
0.5,400,1093,1.28,9199.2,0.16541,0.08308,0.2169
0.8,500,1023,1.46,25349.0,0.68574,0.14464000000000002,3.6983
0.1,450,1023,1.34,4135.1,0.014195,0.079687,-0.089627
0.8,400,1023,0.95,618.54,0.014097,0.0014405,-0.071174
0.5,500,1083,1.49,25447.0,0.38871999999999995,0.28576,3.9933
0.3,450,1073,1.21,3803.5,0.043368000000000004,0.042765,-0.18536
0.6,350,1073,1.14,3597.3,0.080611,0.025021,-0.16392
0.5,500,1063,0.97,911.39,0.013326,0.004991399999999999,-0.13028
0.5,400,1063,1.42,16027.0,0.29819,0.18456,1.643
0.7,400,1023,1.46,20590.0,0.5652,0.19157000000000002,2.9659
0.5,420,1023,1.18,1953.4,0.034319,0.012950999999999999,0.0050937
0.2,400,1123,1.51,19590.0,0.13992000000000002,0.42835,0.51269
0.1,450,1123,0.99,1563.5,0.0056186000000000005,0.029137,-0.46606000000000003
0.1,500,1023,1.17,1575.5,0.0049238,0.026817,-0.20151
0.4,350,1073,1.59,21344.0,0.36922,0.49535,3.7761
0.5,400,1023,1.51,18904.0,0.36426,0.25447,2.8975
0.5,500,1083,0.99,1397.8,0.020252000000000003,0.0078664,-0.19389
0.3,550,1073,1.18,3194.7,0.030798000000000002,0.028097000000000004,-0.19288
0.5,400,1063,0.98,989.99,0.017751,0.0071134,-0.14311
