H2O,flux,Tem,V,cd,H2,CO,Q
0.3,500,1123,1.33,12173.0,0.11695,0.14284000000000002,-0.018861000000000003
0.7,400,1023,1.29,5629.9,0.12625999999999998,0.024455,0.46318000000000004
0.55,500,1023,1.05,889.49,0.013937999999999999,0.0039779,-0.059153
0.1,500,1023,1.16,1486.3,0.0046488,0.025284,-0.19973
0.5,480,1023,0.94,382.22,0.0059146,0.0020823,-0.05367
0.8,500,1023,0.91,443.48,0.0081391,0.000767,-0.058025
0.35,500,1023,1.16,1450.9,0.017284,0.012031,-0.047839
0.5,500,1083,1.49,25447.0,0.38871999999999995,0.28576,3.9933
0.5,500,1083,1.08,2486.0,0.036072,0.014225999999999999,-0.21053000000000002
0.2,500,1023,1.59,18450.0,0.11704,0.31261,2.1935
0.3,500,1123,1.48,22306.0,0.20077,0.3224,1.4107
0.4,400,1123,0.96,1638.2,0.025303,0.015812,-0.28793
0.3,500,1023,1.51,13983.0,0.13896,0.17711,1.7829
0.8,450,1023,1.27,5608.9,0.11990999999999999,0.013411000000000001,0.46071999999999996
0.5,400,1043,1.05,1178.9,0.021375,0.008312,-0.10924
0.1,550,1073,1.37,7940.8,0.022956,0.12555,-0.29409
0.1,350,1073,0.94,609.69,0.0028217,0.01463,-0.18467999999999998
0.5,500,1093,1.46,24458.0,0.36972,0.26097,3.3613
0.8,450,1023,0.96,659.21,0.013416999999999998,0.0013106,-0.069262
0.1,350,1073,1.01,1067.5,0.0049128999999999996,0.025629000000000002,-0.28278000000000003
0.6,450,1023,1.21,2691.4,0.048866,0.01241,0.093654
0.4,500,1023,1.46,11533.0,0.14972,0.10749,1.5835
0.4,450,1023,1.43,9350.4,0.13391,0.094151,1.1383
0.5,500,1023,1.12,1310.3,0.019587,0.006881999999999999,-0.037357
0.2,400,1123,1.12,3628.6,0.030763,0.060588,-0.6006
0.6,450,1123,1.25,12290.0,0.22141,0.08034,0.20986
0.5,450,1023,1.53,21137.0,0.36564,0.25419,3.5499
0.5,400,1093,1.33,12425.0,0.22519,0.12420999999999999,0.63188
0.5,500,1123,1.03,3008.3,0.042864,0.017938,-0.36415
0.5,400,1043,0.94,542.09,0.0098086,0.0037915999999999996,-0.085888
0.5,400,1023,1.33,5331.2,0.098929,0.042109,0.46458999999999995
0.5,500,1123,1.31,15051.0,0.21904,0.11755,0.71758
0.35,500,1023,1.41,7408.5,0.087302,0.070507,0.80214
0.5,410,1023,0.96,453.05,0.0081036,0.0029912,-0.06097999999999999
0.4,500,1023,1.31,3903.7,0.051112,0.029470999999999997,0.27405999999999997
0.5,400,1063,0.95,795.07,0.014247999999999999,0.0057027,-0.12868
0.3,350,1073,1.57,20057.0,0.25206999999999996,0.4889,2.0664
0.3,450,1073,1.51,19253.0,0.19655999999999998,0.30984,1.712
0.3,500,1123,1.29,9950.3,0.09723,0.11169000000000001,-0.209
0.2,350,1073,1.32,6419.3,0.059334000000000005,0.13126,-0.21089000000000002
0.05,500,1023,1.43,6912.2,0.0099162,0.13327,0.094054
0.05,500,1023,0.94,332.95,0.00048499999999999997,0.0062106,-0.095683
0.3,550,1073,0.96,770.14,0.0075637000000000005,0.0065009,-0.14601
0.5,420,1023,1.39,8292.9,0.14835,0.068155,0.97093
0.9,550,1073,1.27,13210.0,0.26224000000000003,0.016193,0.7507199999999999
0.1,450,1023,1.32,3689.4,0.012666,0.070849,-0.1243
0.3,350,1073,1.6,20721.0,0.26091,0.52273,2.4725
0.55,500,1023,1.07,1014.2,0.015898,0.0045463000000000005,-0.054723
0.7,550,1073,1.18,5192.5,0.08229199999999999,0.015536000000000001,0.0093603
0.5,500,1043,1.14,2038.0,0.030175999999999998,0.01113,-0.057807000000000004
0.2,550,1073,0.95,673.69,0.0046036,0.0076971,-0.15947999999999998
0.7,500,1123,1.17,8777.4,0.15213,0.034142,-0.22419
0.05,500,1023,1.17,1613.9,0.0023026,0.030198000000000003,-0.23584000000000002
0.95,500,1023,1.16,3022.7,0.061265999999999994,0.0012444,0.096651
0.1,450,1023,0.9,221.05,0.000779,0.0041573,-0.06388300000000001
0.2,450,1023,1.39,5742.7,0.043449,0.089429,0.26061
0.5,400,1043,1.14,2078.9,0.037766,0.014974000000000001,-0.076154
0.3,350,1073,0.91,511.44,0.0074759,0.0071646999999999995,-0.11637
0.05,500,1023,1.33,3921.2,0.0055658,0.07420700000000001,-0.16939
0.7,400,1123,1.35,22439.0,0.59014,0.2108,1.7849
0.45,500,1023,1.27,3181.3,0.04493,0.020367,0.18027
0.6,500,1023,1.0,676.52,0.011029,0.0025781,-0.06253
0.95,500,1023,0.96,765.88,0.015106,0.00031299999999999996,-0.07051
0.3,450,1023,0.93,287.07,0.0033298000000000004,0.0030765999999999996,-0.054530999999999996
0.15,500,1023,1.37,4956.4,0.024694999999999998,0.077287,0.084213
0.8,500,1123,1.39,27869.0,0.7579,0.17529,2.5308
0.6,550,1073,0.98,1289.1,0.018701,0.0048827,-0.16517
0.8,550,1073,1.38,24599.0,0.52669,0.094597,2.4757
0.3,400,1123,1.5,21465.0,0.23354,0.42508999999999997,1.3795
0.1,400,1123,1.44,13953.0,0.049031,0.32377,-0.52982
0.25,500,1023,1.04,649.86,0.0057794,0.007289100000000001,-0.09260399999999999
0.4,450,1123,1.34,14829.0,0.19892,0.1691,0.53779
0.55,500,1023,1.17,1915.5,0.030111000000000002,0.008784700000000001,0.017490000000000002
0.8,400,1123,1.21,12262.0,0.30257,0.048887,-0.1136
0.9,350,1073,1.02,2374.1,0.065074,0.0040755,-0.23041
0.5,400,1123,1.05,3364.7,0.05889,0.026407,-0.38575
0.6,450,1123,1.11,5445.5,0.094544,0.030101999999999997,-0.37334
0.9,550,1073,1.09,3733.8,0.06614,0.0036046,-0.15084
0.1,450,1023,1.02,607.24,0.0021335,0.011424,-0.13593
0.3,500,1123,1.5,23460.0,0.21006999999999998,0.34834,1.7001
0.3,400,1023,1.24,2361.4,0.030238,0.029826,-0.013397999999999998
0.2,350,1073,1.54,17384.0,0.14396,0.44683,1.0236
0.4,450,1123,1.03,2633.2,0.036494,0.0225,-0.36149000000000003
0.7,350,1073,1.21,6375.0,0.15897,0.035858999999999995,0.019591
0.6,500,1123,1.36,23175.0,0.4035,0.1831,2.3671
0.4,500,1123,1.4,19969.0,0.2411,0.22415,1.4142
0.6,400,1023,1.02,797.32,0.016013,0.0040419,-0.070453
0.5,450,1023,1.12,1327.5,0.021859,0.0079433,-0.043037
0.1,500,1023,1.21,1982.2,0.006175899999999999,0.033819,-0.20209000000000002
0.9,450,1073,1.02,2381.6,0.050839999999999996,0.0029586,-0.21258000000000002
0.25,500,1023,1.58,18800.0,0.15044000000000002,0.29299000000000003,2.4562
0.5,500,1113,1.31,13640.0,0.1989,0.10273,0.62936
0.5,440,1023,1.07,966.03,0.016225999999999997,0.0058931,-0.062553
0.1,450,1123,1.14,3832.5,0.013456999999999998,0.071921,-0.80367
0.4,450,1023,0.92,288.71,0.0041559,0.0022854,-0.049031
0.4,450,1023,1.36,5588.8,0.080417,0.050323,0.51461
0.5,450,1023,1.45,13090.0,0.22205999999999998,0.1155,1.8630000000000002
0.7,550,1073,1.15,4304.1,0.067843,0.012615000000000001,-0.070124
0.7,400,1023,0.93,469.99,0.010097,0.0016969,-0.062987
0.6,500,1023,0.96,507.19,0.008261,0.0019311,-0.059123
0.5,460,1023,1.0,598.63,0.009643200000000001,0.0034379,-0.063696
0.3,450,1123,1.08,3180.6,0.035936,0.035373,-0.43632
0.2,450,1123,0.9,764.28,0.0061501,0.010868000000000001,-0.20568000000000003
0.8,400,1023,1.05,1250.7,0.028676999999999998,0.0029322,-0.067163
0.15,500,1023,1.6,18184.0,0.084879,0.3337,1.9425
0.6,350,1073,1.16,4062.2,0.091291,0.028637,-0.13602999999999998
0.5,400,1093,1.04,2215.7,0.03923,0.016684,-0.26269000000000003
0.1,500,1123,1.28,7478.6,0.023185,0.12867,-0.91151
0.5,450,1023,1.07,963.44,0.015852,0.0057171999999999995,-0.061577999999999994
0.05,500,1023,0.93,304.34,0.000443,0.005677300000000001,-0.08904400000000001
0.3,400,1023,0.97,399.9,0.0051703,0.004867600000000001,-0.068423
0.2,450,1023,1.01,533.57,0.0041563,0.007756900000000001,-0.098364
0.1,450,1123,1.25,6446.5,0.021991,0.12297999999999999,-0.91061
0.5,410,1023,1.3,4295.9,0.077671,0.031702,0.31161
0.8,550,1073,1.24,8932.4,0.15599000000000002,0.019627000000000002,0.36504000000000003
0.4,400,1123,1.3,11868.0,0.17795999999999998,0.14662999999999998,0.13438
0.1,400,1023,1.21,1984.5,0.0076733999999999995,0.042379,-0.20786
0.9,500,1123,1.0,3834.0,0.073335,0.0049256,-0.46575
0.9,450,1023,1.15,2697.5,0.05901699999999999,0.0027258000000000004,0.052055
0.4,500,1123,1.16,5619.8,0.070369,0.044827,-0.34008
0.5,430,1023,0.93,357.24,0.0061129,0.0022265,-0.05365399999999999
0.5,500,1073,1.43,18850.0,0.28359,0.16731,2.1707
0.3,500,1123,1.17,5294.4,0.0537,0.054207000000000005,-0.44972
0.5,500,1043,1.26,4311.2,0.064136,0.024982,0.19213
0.6,500,1123,1.37,24247.0,0.42623999999999995,0.20022,2.7604
0.7,500,1123,1.08,5164.0,0.087376,0.018709,-0.41158999999999996
0.1,400,1123,0.92,854.41,0.0033814,0.017994,-0.28419
0.8,350,1073,1.41,19836.0,0.77952,0.18775999999999998,1.892
0.85,500,1023,1.01,984.24,0.018591,0.0012546,-0.066633
0.5,470,1023,1.58,24599.0,0.41513999999999995,0.3235,4.9591
0.6,550,1073,1.33,11931.0,0.18124,0.057838,0.94988
0.9,450,1123,1.26,18760.0,0.51398,0.042506999999999996,0.2629
0.5,440,1023,0.92,328.86,0.0055085,0.0019936,-0.050975
0.5,400,1093,1.36,14787.0,0.26958000000000004,0.1602,0.98724
0.9,450,1073,1.23,9774.2,0.23016999999999999,0.014597999999999998,0.30338000000000004
0.5,400,1033,1.25,3581.5,0.065702,0.026779,0.1298
0.5,490,1023,1.0,594.23,0.009033200000000002,0.0031583,-0.061850999999999996
0.5,490,1023,1.37,6905.6,0.10661,0.044029,0.80299
0.7,450,1023,1.35,8943.3,0.18391,0.037701,1.0333
0.3,350,1073,1.03,1284.4,0.018634,0.018216999999999997,-0.20961999999999997
0.6,500,1023,1.15,1805.5,0.029577,0.0070585,0.0030098000000000004
0.5,500,1063,1.17,3265.9,0.047945,0.018684,-0.067748
0.5,500,1023,1.08,1015.0,0.015163,0.0052968,-0.054560000000000004
0.1,450,1023,1.23,2221.1,0.0076538,0.042197000000000005,-0.20059000000000002
0.2,400,1123,1.6,22625.0,0.15975999999999999,0.5354899999999999,1.4798
0.3,500,1023,0.91,240.14,0.0025252,0.0022995999999999997,-0.047478
0.5,500,1073,1.4,15811.0,0.23651999999999998,0.12777,1.5929
0.8,400,1023,1.35,11585.0,0.30391999999999997,0.04353,1.2602
0.15,500,1023,1.15,1366.1,0.0068774,0.020640000000000002,-0.16268
0.9,450,1123,1.31,22964.0,0.76303,0.075645,0.72002
0.5,500,1123,1.14,5716.4,0.081755,0.035768,-0.32053000000000004
0.8,450,1123,1.09,6026.6,0.12212,0.017359,-0.44611000000000006
0.7,400,1123,1.1,5714.9,0.12070999999999998,0.027706,-0.42023
0.5,490,1023,1.46,13954.0,0.21881,0.11177999999999999,2.1001
0.8,450,1123,1.06,5034.6,0.10111,0.014258000000000002,-0.46234
0.4,400,1023,1.33,4606.4,0.073722,0.046629000000000004,0.33032
0.1,500,1123,1.02,1948.2,0.0064081,0.032587,-0.54655
0.65,500,1023,0.97,583.33,0.0098443,0.0018817999999999999,-0.062014
0.5,400,1083,1.42,18573.0,0.34410999999999997,0.23383,1.8293
0.3,450,1123,1.18,5545.6,0.061316999999999997,0.064626,-0.45613000000000004
0.2,450,1023,1.58,17442.0,0.12134,0.33255999999999997,1.9516
0.5,500,1073,1.47,22759.0,0.34563,0.23081,3.1017
0.1,450,1123,1.21,5369.7,0.01853,0.10169,-0.8911399999999999
0.9,450,1023,1.32,10740.0,0.26633,0.015511000000000002,1.1228
0.5,420,1023,1.0,604.95,0.010592,0.0038826999999999998,-0.066413
0.1,450,1123,1.41,12756.0,0.041117,0.25645999999999997,-0.64815
0.5,400,1053,1.14,2401.5,0.043414,0.017595,-0.10121000000000001
0.5,460,1023,1.21,2334.2,0.037754,0.013978,0.05765700000000001
0.5,450,1023,1.5,18359.0,0.31501,0.19663,2.8858
0.2,500,1023,1.6,19158.0,0.12090999999999999,0.32871999999999996,2.3278
0.1,450,1073,1.09,1810.4,0.0066131,0.033752,-0.3852
0.2,400,1123,1.23,6359.5,0.051774,0.11068,-0.66352
0.3,450,1023,1.22,2068.6,0.023857,0.022768,-0.029488999999999998
0.9,400,1123,1.15,9383.9,0.24272,0.017623,-0.38568
0.8,500,1023,1.08,1485.3,0.027485000000000002,0.0025939,-0.040201
0.4,450,1023,1.31,3960.1,0.05702,0.034043000000000004,0.26119000000000003
0.5,400,1063,1.0,1138.0,0.020411000000000002,0.008192200000000002,-0.15107
0.3,500,1023,1.18,1604.9,0.016850999999999998,0.015588999999999999,-0.057978999999999996
0.9,550,1073,1.18,6765.5,0.12372000000000001,0.006929600000000001,0.084871
0.7,500,1123,1.22,11866.0,0.21051999999999998,0.049663,0.050532
0.15,500,1023,1.21,1945.8,0.0097552,0.029537,-0.15692
0.25,500,1023,1.59,19547.0,0.15562,0.30944,2.6044
0.85,500,1023,1.23,4376.4,0.085547,0.0062911,0.2952
0.2,400,1023,1.44,7950.6,0.065727,0.14659,0.514
0.5,430,1023,1.46,14168.0,0.25149,0.13915,2.0201
0.6,450,1023,1.07,1097.1,0.019772,0.0048177,-0.057852
0.9,500,1123,1.05,5235.2,0.10149,0.0067676,-0.48091000000000006
0.5,500,1063,1.53,25938.0,0.40233,0.30449,4.6694
0.5,400,1053,1.55,22966.0,0.44738999999999995,0.38092,4.2623
0.4,450,1073,0.98,999.29,0.014186,0.0081179,-0.15935
0.35,500,1023,1.13,1203.1,0.014338,0.0099308,-0.062384
0.5,400,1043,1.02,966.14,0.017509,0.006786,-0.10733
0.4,400,1023,1.56,19847.0,0.30756,0.3398,3.0101
0.5,500,1103,1.12,4051.6,0.058342,0.024250999999999998,-0.2672
0.3,400,1023,1.42,7692.3,0.096067,0.11082,0.68167
0.1,350,1073,1.55,16268.0,0.064742,0.46779,0.56002
0.7,500,1023,1.19,2677.8,0.047234,0.0076191,0.093053
0.5,420,1023,1.37,7111.4,0.12679,0.056071,0.772
0.8,450,1023,1.2,3346.1,0.06982100000000001,0.0072358000000000006,0.14484
0.8,450,1073,0.95,1330.2,0.026525,0.0032302,-0.18327000000000002
0.4,450,1023,1.09,980.31,0.014129,0.0078157,-0.0669
0.6,450,1123,1.35,21520.0,0.41446000000000005,0.19282,1.9252
0.1,400,1123,1.22,5534.1,0.020986,0.1186,-0.8915700000000001
0.4,450,1123,1.1,3993.8,0.05513,0.035012,-0.39129
0.2,350,1073,1.29,5466.4,0.051144999999999996,0.10979000000000001,-0.2686
0.6,550,1073,1.05,2043.0,0.029719,0.007805299999999999,-0.17515999999999998
0.25,500,1023,1.38,5505.4,0.048060000000000005,0.066439,0.34541
0.5,500,1083,1.42,19375.0,0.29018,0.17396,2.1069
0.7,450,1023,1.17,2385.2,0.046452999999999994,0.0077280000000000005,0.044057
0.7,400,1023,1.45,19781.0,0.5330600000000001,0.17293,2.7783
0.5,470,1023,1.41,9495.7,0.15338,0.06966699999999999,1.2445
0.8,500,1123,1.17,9852.5,0.18603,0.026795999999999997,-0.24019000000000001
0.8,450,1073,1.3,14009.0,0.32142,0.048963,0.85803
0.7,500,1023,1.01,825.16,0.014388,0.0022249,-0.064363
0.5,420,1023,1.36,6594.1,0.11739000000000001,0.051063,0.68594
0.5,450,1023,1.27,3455.5,0.057195,0.022026,0.20626999999999998
0.1,400,1123,0.96,1223.0,0.004846199999999999,0.025727,-0.38472
0.5,490,1023,1.58,25107.0,0.40662,0.30978,5.0957
0.4,350,1073,1.18,3524.3,0.062190999999999996,0.040806,-0.17037
0.9,450,1123,1.05,5177.3,0.11163,0.007656399999999999,-0.49046000000000006
0.5,500,1123,0.99,2332.1,0.033205,0.013779,-0.3346
0.1,450,1123,0.9,708.05,0.0025403,0.013222999999999999,-0.2404
0.6,450,1073,1.4,18876.0,0.36612,0.1561,2.0314
0.1,350,1073,1.25,4198.4,0.018437000000000002,0.10314000000000001,-0.48086999999999996
0.4,450,1023,1.5,15372.0,0.21693,0.18631,2.1786
0.5,400,1103,0.93,1180.3,0.020766999999999997,0.008836,-0.21388000000000001
0.05,500,1023,1.39,5494.9,0.0078414,0.10497000000000001,-0.043406
0.1,400,1023,1.07,857.64,0.0033659,0.018172999999999998,-0.16705
0.15,500,1023,1.56,15297.0,0.07281,0.26959,1.47
0.1,450,1023,1.18,1671.0,0.005781199999999999,0.031629000000000004,-0.20498000000000002
0.2,400,1123,1.18,4963.9,0.041221,0.084549,-0.65559
0.8,450,1123,1.23,14121.0,0.31373,0.05022,0.072841
0.4,500,1023,0.97,423.47,0.005543800000000001,0.0029662,-0.058341
0.8,450,1073,1.25,9698.3,0.21024,0.02903,0.37098000000000003
0.6,500,1023,0.9,316.48,0.0051465,0.0012075,-0.047827
0.5,400,1053,1.41,13786.0,0.25665,0.14665999999999998,1.4144
0.9,350,1073,0.92,1166.4,0.031507,0.0020168,-0.18178
0.4,450,1073,1.42,14882.0,0.2044,0.17299,1.2625
0.5,440,1023,1.3,4248.7,0.07195399999999999,0.028597000000000004,0.32145
0.5,400,1023,1.59,22654.0,0.45009,0.38504,4.6694
0.85,500,1023,1.3,7705.8,0.15671,0.012784,0.7928
0.5,400,1063,1.05,1582.6,0.02841,0.011479999999999999,-0.16230999999999998
0.75,500,1023,1.23,3771.5,0.069159,0.0091327,0.2337
0.35,500,1023,1.01,542.92,0.0064756,0.004439899999999999,-0.068432
0.55,500,1023,1.57,26037.0,0.45871999999999996,0.29386,5.6428
0.5,430,1023,1.03,742.55,0.01273,0.0046397,-0.067219
0.9,450,1073,1.1,3999.5,0.086927,0.0050729,-0.16258
0.5,460,1023,1.57,23880.0,0.40995,0.31563,4.588
0.2,500,1023,0.93,279.97,0.0019722000000000003,0.0036546,-0.063544
0.4,450,1073,1.21,4191.5,0.059063,0.036432,-0.090793
0.3,500,1023,1.2,1814.4,0.019039,0.017686,-0.042811
0.6,450,1023,1.22,2873.4,0.05221900000000001,0.013334,0.11735
0.5,440,1023,0.95,416.73,0.0069855,0.0025245999999999997,-0.057433000000000005
0.55,500,1023,1.34,5996.4,0.095662,0.03136,0.6467
0.6,350,1073,1.03,1822.9,0.04044,0.012145999999999999,-0.20542
0.5,500,1023,1.11,1229.9,0.018382,0.006447700000000001,-0.042838
0.8,450,1073,1.01,2013.4,0.040368,0.004901399999999999,-0.20536999999999997
0.35,500,1023,1.42,7967.3,0.09373,0.07690599999999999,0.8952600000000001
0.4,450,1023,1.29,3468.5,0.049947000000000005,0.029414999999999997,0.18977
0.6,500,1023,0.91,343.72,0.0055911,0.0013106,-0.050022000000000004
0.9,450,1123,1.02,4301.5,0.091873,0.006319699999999999,-0.48375
